,id,network_id,degree,definition
4260,15434,3,143.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 8}"
6971,15476,3,144.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 7}"
12125,15555,3,145.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 1}"
13482,15755,3,146.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 15}"
13667,15862,3,147.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 6}"
14767,15925,3,148.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 11}"
15105,16084,3,149.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 5}"
14595,16153,3,150.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 13}"
15514,16286,3,151.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 12}"
15644,16303,3,152.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 9}"
14274,16408,3,153.0,"{""vector"": [0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 0}"
17156,16556,3,154.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 2}"
17302,16663,3,155.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 4}"
17303,16737,3,156.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 14}"
17270,16908,3,157.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 10}"
17680,16976,3,158.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 3}"
17793,17101,3,159.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 8}"
